题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,
下列关于元电荷的说法中正确的是（ ）,元电荷就是电子和质子本身,某带电体所带电量可能为2.8×10<sup>﹣</sup><sup>19</sup>C,物体所带的电量只能是元电荷的整数倍,最小电荷量最早由物理学家牛顿用著名的油滴实验测定,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/fafc413cbac9910387856c661e10_3592063ex.png,910387856c661e10_3592063ex.png,,,,,
物理学引入“点电荷”概念，从科学方法上来说是属于(),控制变量的方法,观察实验的方法,建立物理模型的方法,等效替代的方法,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/44cfa15c5180a8685d983c735a17_1009856ex.png,a8685d983c735a17_1009856ex.png,,,,,
甲、乙两个带电体之间的静电力为引力，可以肯定( ),它们都带正电,它们都带负电,甲的电量大于乙的电量,一个带正电，另—个带负电,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b8354dd2c7294b94489bacf6493f_1001533ex.png,4b94489bacf6493f_1001533ex.png,,,,,
两个相同的金属小球A、B，所带的电量qA=+q0、qB=﹣7q0  ， 相距r放置时，相互作用的引力大小为F．现将A球与B球接触，再把A、B两球间的间距增大到2r，那么A、B之间的相互作用力将变为（ ）,斥力、<img src="/files/attach/files/content/2020/0324/1585031569.014.png",斥力、<img src="/files/attach/files/content/2020/0324/1585031570.130.png",引力、<img src="/files/attach/files/content/2020/0324/1585031569.014.png",引力、<img src="/files/attach/files/content/2020/0324/1585031570.130.png",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/cf769415f5074a7b8442da6a1e95_5338553ex.png,4a7b8442da6a1e95_5338553ex.png,,,,,
富兰克林提出存在正、负两种电荷，但物体通常呈电中性，这是因为（）,物体没有电荷,物体的正负电荷一样多,物体很容易失去电荷,以上说法都不正确,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5f116c997cc52ad218b2e3f75c78_1002823ex.png,2ad218b2e3f75c78_1002823ex.png,,,,,
A、B是两个一样的金属球，带电量分别为QA=2Q、QB=﹣Q，现用导线将它们连起来，则（　　）,A将失去质子，B将失去电子,连接瞬间，导线中有从A到B的电流,稳定后A球带电量为Q，B球不带电,通过导线的电荷量为Q,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/2cea930b965659f00efc8d8a862d_4446323ex.png,59f00efc8d8a862d_4446323ex.png,,,,,
富兰克林是根据带电体间的相互作用，发现电荷有正、负两种，如图所示，绝缘细线上端固定，下端悬挂一轻质小球a，a的表面镀有铝膜，在a的近旁有一固定绝缘金属球b，则（）,若a顺时针摆动，证明a、b带同种电荷,若a逆时针摆动，证明a、b带异种电荷,若a顺时针摆动，证明a、b带异种电荷,若a逆时针摆动，证明a、b带同种电荷,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/771cf2b410507f67dcd1b2cd5eea_1002930ex.png,7f67dcd1b2cd5eea_1002930ex.png,,,,,
两金属小球所带电荷量分别为+3Q和﹣Q，将两小球接触后，它们所带的电荷量一共为（　　）,+4Q,+2Q,#NAME?,﹣Q,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/30bb449188239a392efe2e45b38c_4446041ex.png,9a392efe2e45b38c_4446041ex.png,,,,,
关于感应电流的产生，下列说法中正确的是（ ）,导体相对磁场运动，导体内一定会产生感应电流,导体做切割磁感线运动，导体内一定会产生感应电流,穿过闭合电路的磁通量发生变化，电路中一定会产生感应电流,闭合电路在磁场中做切割磁感线运动，电路中一定会产生感应电流,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/648b729aba9856dc573c9b90d2cd_4890496ex.png,56dc573c9b90d2cd_4890496ex.png,,,,,
如图所示，有一正方形闭合线圈，在足够大的匀强磁场中运动，下列四个图中能产生感应电流的是图（ ）,img alt="" height="72" src="/files/attach/files/content/2020/0324/7622f616481fef521bcdaf9744212b65.png" v:shapes="_x0000_i1081" width="69",img alt="" height="80" src="/files/attach/files/content/2020/0324/adfb5a23794732c64397aad8dbe4c4a8.png" v:shapes="_x0000_i1080" width="68",img alt="" height="72" src="/files/attach/files/content/2020/0324/443c95357ac6b205aed5aff9256ad858.png" v:shapes="_x0000_i1079" width="81",img alt="" height="96" src="/files/attach/files/content/2020/0324/b3b328b8f3295c2364e4c494a2c49cfa.png" v:shapes="_x0000_i1078" width="62",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/d2a173329eed8e6c0c62b48e5874_3375897ex.png,8e6c0c62b48e5874_3375897ex.png,,,,,
如图所示为两个同心闭合线圈的俯视图，若内线圈中通有图示的电流I1  ， 则当I1增大时关于外线圈中的感应电流I2的方向及I2受到的安培力F的方向，下列判断正确的是（ ）,I<sub>2</sub>沿顺时针方向，F沿半径指向圆心,I<sub>2</sub>沿逆时针方向，F沿半径背离圆心,I<sub>2</sub>沿逆时针方向，F沿半径指向圆心,I<sub>2</sub>沿顺时针方向，F沿半径背离圆心,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/92f8c0ba7c0bf669a62abeb27a21_4893952ex.png,f669a62abeb27a21_4893952ex.png,,,,,
老师做了一个物理小实验让学生观察：一轻质横杆两侧各固定一金属环，横杆可绕中心点自由转动，老师拿一条形磁铁插向其中一个小环，后又取出插向另一个小环，同学们看到的现象是（ ）,磁铁插向左环，横杆发生转动,磁铁插向右环，横杆发生转动,无论磁铁插向左环还是右环，横杆都不发生转动,无论磁铁插向左环还是右环，横杆都发生转动,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/157b9190c4d88db82d4ac25990df_4891084ex.png,8db82d4ac25990df_4891084ex.png,,,,,
如图所示，两根相距为l的平行直导轨ab、cd、b、d间连有一固定电阻R，导轨电阻可忽略不计．MN为放在ab和cd上的一导体杆，与ab垂直，其电阻也为R．整个装置处于匀强磁场中，磁感应强度的大小为B，磁场方向垂直于导轨所在平面（指向图中纸面内）．现对MN施力使它沿导轨方向以速度v（如图）做匀速运动．令U表示MN两端电压的大小，则（ ）,U= <img src="/files/attach/files/content/2020/0324/1585029740.774.png"> vBl，流过固定电阻R的感应电流由b到d</img,U= <img src="/files/attach/files/content/2020/0324/1585029740.774.png"> vBl，流过固定电阻R的感应电流由d到b</img,U=vBl，流过固定电阻R的感应电流由b到d,U=vBl，流过固定电阻R的感应电流由d到b,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/0d9f4afeb8275f1dd70c643212ff_4893960ex.png,5f1dd70c643212ff_4893960ex.png,,,,,
物理学的基本原理在生产生活中有着广泛应用。在下列四种器件中，利用电磁感应原理工作的是（ ）,扼流圈,示波管,显像管,质谱仪,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/24148158d833e4ac57a553e272b0_11991538ex.png,4ac57a553e272b0_11991538ex.png,,,,,
关于电磁感应现象，下列说法中正确的是（ ）,闭合线圈放在变化的磁场中，必然有感应电流产生,闭合正方形线圈在匀强磁场中垂直磁感线运动，必然产生感应电流,穿过闭合线圈的磁通量变化时，线圈中有感应电流,只要穿过电路的磁通量发生变化，电路中一定有感应电流产生,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/44229d81848d01e0205347689ab4_4858502ex.png,01e0205347689ab4_4858502ex.png,,,,,
在匀强磁场中有两条平行的金属导轨，磁场方向与导轨平面垂直，导轨上有两条可沿导轨自由移动的导体棒ab、cd，它们的运动速度分别为v1、v2  ， 运动方向如图所示，ab棒上有感应电流通过，则一定有（ ）,v<sub>1</sub>＞v<sub>2</sub,v<sub>1</sub>＜v<sub>2</sub,v<sub>1</sub>≠v<sub>2</sub,v<sub>1</sub>＝v<sub>2</sub,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/105e180dd87a0bc1bdb25cfb3555_6855825ex.png,0bc1bdb25cfb3555_6855825ex.png,,,,,
用相同导线绕制的边长为L或2L的四个闭合导体框，以相同的速度匀速进入右侧匀强磁场，如图所示。在每个线框进入磁场的过程中，M、N两点间的电压分别为Ua、Ub、Uc、Ud。下列判断正确的是（ ）,i>U<sub>a</sub></i>&lt;<i>U<sub>b</sub></i>&lt;<i>U<sub>c</sub></i>&lt;<i>U<sub>d</sub></i,i>U<sub>a</sub></i>&lt;<i>U<sub>b</sub></i>&lt;<i>U<sub>d</sub></i>&lt;<i>U<sub>c</sub></i,i>U<sub>a</sub></i>＝<i>U<sub>b</sub></i>&lt;<i>U<sub>c</sub></i>＝<i>U<sub>d</sub></i,i>U<sub>b</sub></i>&lt;<i>U<sub>a</sub></i>&lt;<i>U<sub>d</sub></i>&lt;<i>U<sub>c</sub></i,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/926219e87472006ada73a44b40d2_1021318ex.png,006ada73a44b40d2_1021318ex.png,,,,,
如图所示，一个矩形线圈abcd放在垂直于纸面向外的匀强磁场中，O1O2是线圈的对称轴．线圈在下列各种运动中，整个线圈始终处于磁场之内，能使线圈中产生感应电流的是（　　）,沿纸面向左移动,沿纸面向上移动,垂直纸面向里移动,以<span>O</span><span><sub>1</sub>O</span><span><sub>2</sub></span>为轴转动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e41b9e50416da1e8d5eb189d32de_1453838ex.png,a1e8d5eb189d32de_1453838ex.png,,,,,
彼此绝缘、相互交叉的两根通电直导线与闭合线圈共面，图中穿过线圈的磁通量可能为零的是（　　）,img alt="" height="71" src="/files/attach/files/content/2020/0324/de7589d1edbc727530b85087e6f26e1b.png" v:shapes="_x0000_i1036" width="90",img alt="" height="65" src="/files/attach/files/content/2020/0324/e28cb77e9fb540d93249a21967442475.png" v:shapes="_x0000_i1037" width="89",img alt="" height="69" src="/files/attach/files/content/2020/0324/c59f6abd42fc551c04ee0e58fd1bd6dc.png" v:shapes="_x0000_i1038" width="86",img alt="" height="63" src="/files/attach/files/content/2020/0324/54f6b8f63fa575a57bc1c3d1eb617fcc.png" v:shapes="_x0000_i1039" width="72"/> ,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/841d05a6f143c879512b5a4fb1cf_1419759ex.png,c879512b5a4fb1cf_1419759ex.png,,,,,
关于产生感应电流的条件，以下说法中正确的是（ ）,闭合电路在磁场中运动，闭合电路中就一定会有感应电流,闭合电路在磁场中作切割磁感线运动，闭合电路中一定会有感应电流,穿过闭合电路的磁通为零的瞬间，闭合电路中一定不会产生感应电流,无论用什么方法，只要穿过闭合电路的磁通量发生了变化，闭合电路中一定会有感应电流,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e70182e79a6af56a896d5c9602af_3388367ex.png,f56a896d5c9602af_3388367ex.png,,,,,
我国古代四大发明中，涉及到电磁现象应用的发明是,印刷术　,造纸术　,指南针　,火药,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/122bfea8adbb2ca51e151bfb3036_1017891ex.png,2ca51e151bfb3036_1017891ex.png,,,,,
如图，边长为L均匀导线制成的单匝正方形闭合线框abcd自磁场上方h高度处自由下落，刚进入磁场时恰好做匀速直线运动．现减小下落的高度h也能使线框在刚进入磁场时就做匀速直线运动，则可行的方案是（ ）,用同种规格的导线，做成边长为2L的单匝线框,用同种规格的导线，做成边长仍为L的双匝线框,用同种材料但粗一些的导线，做成边长仍为L的单匝线框,用密度相同但电阻率较小的导线，做成边长为2L的单匝线框,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/2cfcde79e477fe21db0455477198_3413853ex.png,fe21db0455477198_3413853ex.png,,,,,
电磁感应现象揭示了电和磁之间的内在联系，根据这一发现，发明了许多电器设备．下列用电器中，没有利用电磁感应原理的是（ ）,动圈式话筒,日光灯镇流器,磁带录音机,白炽灯泡,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7ceef67ea4b92f4b8c947eac4913_3376179ex.png,2f4b8c947eac4913_3376179ex.png,,,,,
发电的基本原理之一是电磁感应，发现电磁感应现象的科学家是(　 　),安培,赫兹,法拉第,麦克斯韦,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6e249d440962fc923cd5a659f07b_1017716ex.png,fc923cd5a659f07b_1017716ex.png,,,,,
钳形电流测量仪的结构图如图所示，其铁芯在捏紧扳手时会张开，可以在不切断被测载流导线的情况下，通过内置线圈中的电流值I和匝数n获知载流导线中的电流大小I0  ， 则关于该钳形电流测量仪的说法正确的是（ ）,该测量仪可测量直流电的电流,载流导线中电流大小I<sub>0</sub>= <img src="/files/attach/files/content/2020/0324/1585029679.552.png",若钳形部分铁芯没有完全闭合，测量出的电流将小于实际电流,若将载流导线在铁芯上多绕几匝，钳形电流测量仪的示数将变小,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6360c561565fa0346121ebe541cb_4085772ex.png,a0346121ebe541cb_4085772ex.png,,,,,
著名物理学家弗曼曾设计过一个实验，如图所示.在一块绝缘板上中部安一个线圈，并接有电源，板的四周有许多带负电的小球，整个装置支撑起来. 忽略各处的摩擦，当电源接通的瞬间，下列关于圆盘的说法中正确的是（ ）,圆盘将逆时针转动（俯视）,圆盘将顺时针转动（俯视）,圆盘不会转动,圆盘先逆时针转再顺时针转（俯视）,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e4692e023690cc801b2bdeb4c98b_13211680ex.png,c801b2bdeb4c98b_13211680ex.png,,,,,
如图，直角三角形金属框abc放置在匀强磁场中，磁感应强度大小为B，方向平行于ab边向上。ac、bc两金属棒分别串有电压表、电流表，当金属框绕ab边以逆时针转动时，下列判断正确的是( ),电压表有读数，电流表没有读数,电压表有读数，电流表也有读数,电压表无读数，电流表有读数,电压表无读数，电流表也无读数,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/02810bfa9f51c0dc7d1aba939a2c_11471878ex.png,0dc7d1aba939a2c_11471878ex.png,,,,,
如图所示，a、b是平行金属导轨，匀强磁场垂直导轨平面，c、d是分别串有电压表和电流表的金属棒，它们与导轨接触良好，当c、d以相同速度向右运动时，下列说法正确的是（ ）,两表均有读数,两表均无读数,电流表有读数，电压表无读数,电流表无读数，电压表有读数,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/91a6a8755ccd805831b12cb49781_4548430ex.png,805831b12cb49781_4548430ex.png,,,,,
物理学的基本原理在生产生活中有着广泛应用．下面列举的四种器件中，在工作时利用了电磁感应现象的是（ ）,回旋加速器,日光灯,质谱仪,速度选择器,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e6d44c54e3453df60837d7f1e526_5338773ex.png,3df60837d7f1e526_5338773ex.png,,,,,
如图所示，水平放置的平行金属导轨左边接有电阻R，轨道所在处有竖直向下的匀强磁场,金属棒ab横跨导轨，第一次用恒定的拉力F作用下由静止开始向右运动，稳定时速度为2v，第二次保持拉力的功率P恒定，由静止开始向右运动，稳定时速度为３v(除R外，其余电阻不计，导轨光滑)，在两次金属棒ab速度为v时加速度分别为a1、a2  ， 则（）,a<sub>1</sub>＝<img src="/files/attach/files/content/2020/0324/1585029642.388.png"/>a<sub>2</sub,a<sub>1</sub>＝<img src="/files/attach/files/content/2020/0324/1585029643.124.png"/>a<sub>2</sub,a<sub>1</sub>＝<img src="/files/attach/files/content/2020/0324/1585029643.867.png"/>a<sub>2</sub,a<sub>1</sub>＝<img src="/files/attach/files/content/2020/0324/1585029644.590.png"/>a<sub>2</sub,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e4bc7f3ba65315e661a9d35c30c9_1007699ex.png,15e661a9d35c30c9_1007699ex.png,,,,
下列说法正确的是（ ）,法拉第通过精心设计的实验，发现了电磁感应现象，首先发现电与磁存在联系,法拉第首先提出了分子电流假说,我们周围的一切物体都在辐射电磁波,一束光照射到某种金属上不能发生光电效应，可能是因为这束光的频率太大,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4afe203e86d92d2fcfc8678a60be_4438487ex.png,2d2fcfc8678a60be_4438487ex.png,,,,,
平行闭合线圈的匝数为n，所围面积为S，总电阻为R，在Δt时间内穿过每匝线圈的磁通量变化为ΔΦ，则通过导线某一截面的电荷量为（ ）,img src="/files/attach/files/content/2020/0324/1585029630.792.png",img src="/files/attach/files/content/2020/0324/1585029631.016.png",img src="/files/attach/files/content/2020/0324/1585029631.740.png",img src="/files/attach/files/content/2020/0324/1585029632.454.png",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3a83edfc917285812ae235899c19_11284986ex.png,5812ae235899c19_11284986ex.png,,,,,
下列现象中，属于电磁感应现象的是( ),小磁针在通电导线附近发生偏转,通电线圈在磁场中转动,因闭合线圈在磁场中运动而产生的电流,磁铁吸引小磁针,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/cd937df7cd210b0dfbfb8cf7d705_6855767ex.png,0b0dfbfb8cf7d705_6855767ex.png,,,,,
在物理学中许多规律是通过实验发现的，下列说法正确的是（）,麦克斯韦通过实验首次证明了电磁波的存在,牛顿通过理想斜面实验发现了物体的运动不需要力来维持,奥斯特通过实验发现了电流的热效应,法拉第通过实验发现了电磁感应现象,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7c2d05e5b47300b9bac5c829999f_1013875ex.png,00b9bac5c829999f_1013875ex.png,,,,,
如图所示，直径为L的半圆形硬导体PQ以速度v在水平U形导体框架上匀速滑动，匀强磁场的磁感应强度大小为B  ， 导体框架中接入定值电阻，阻值为R0  ， 半圆形硬导体PQ的电阻为r  ， 其余电阻不计，则半圆形导体PQ切割磁感线产生的感应电动势大小及P、Q之间的电势差分别为 (　　),i>BLv</i>；<i>BLv</i,i>BLv</i>；<img src="/files/attach/files/content/2020/0324/1585029618.444.png",i>BLv</i>；<img src="/files/attach/files/content/2020/0324/1585029618.844.png",img src="/files/attach/files/content/2020/0324/1585029619.559.png"/>；<img src="/files/attach/files/content/2020/0324/1585029619.786.png",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a71447e3e4e060dfbff102fb9e49_1014143ex.png,60dfbff102fb9e49_1014143ex.png,,,,,
奥斯特发现电流的磁效应的这个实验中，小磁针应该放在（　　）,南北放置的通电直导线的上方,东西放置的通电直导线的上方,南北放置的通电直导线同一水平面内的左侧,东西放置的通电直导线同一水平面内的右侧,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7c6c16f2d3845c6e71f19ab811fa_1419758ex.png,5c6e71f19ab811fa_1419758ex.png,,,,,
下列哪些电器件在工作时，不是应用电磁感应现象的是（ ）,电磁炉,水力发电机,动圈式话筒,干电池,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/db0b69c86e0e2805d0ab45f0c4b3_11059644ex.png,805d0ab45f0c4b3_11059644ex.png,,,,,
如图所示，当磁铁突然向铜环运动时，铜环的运动情况是( ),向右摆动,向左摆动,静止,无法判定,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/9fdb0f19a95e332da8a1a0ca69dc_11328604ex.png,32da8a1a0ca69dc_11328604ex.png,,,,,
如图所示，通有恒定电流的螺线管竖直放置，电流方向如图，铜环R螺线管轴线下落，下落过程中环面始终保持水平，铜环先后经过轴线上1、2、3三个位置，位置2处于螺线管的中心，位置1、3与位置2等距，则（ ）,从上向下看，环经过位置1时，感应电流是逆时针的,从上向下看，环经过位置3时，感应电流是逆时针的,环在位置2时的加速度小于重力加速度,环在位置3的磁通量比在位置2时大,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e67302c3d4f4a02202a781017e25_4889604ex.png,a02202a781017e25_4889604ex.png,,,,,
如图甲所示，导体棒MN置于水平导轨上，PQ之间有阻值为R的电阻，PQNM所为的面积为S，不计导轨和导体棒的电阻。导轨所在区域内存在沿竖直方向的磁场，规定磁场方向竖直向上为正，在0~2t0时间内磁感应强度的变化情况如图乙所示，导体棒MN始终处于静止状态。下列说法正确的是（ ）,在0~t<sub>0</sub>和t<sub>0</sub>~2t<sub>0</sub>内，导体棒受到导轨的摩擦力方向相同,在t<sub>0</sub>~2t<sub>0</sub>内，通过电阻R的电流方向为P到Q,在0~t<sub>0</sub>内，通过电阻R的电流大小为 <img src="/files/attach/files/content/2020/0324/1585029599.750.png",在0~2t<sub>0</sub>内，通过电阻R的电荷量为 <img src="/files/attach/files/content/2020/0324/1585029600.513.png",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/526fea813a3aa66a58c25872daf9_9175868ex.png,a66a58c25872daf9_9175868ex.png,,,,,
如图所示，竖直平面内有一金属环，半径为a，总电阻为R（指拉直时两端的电阻），磁感应强度为B的匀强磁场垂直穿过环平面，在环的最高点A用铰链连接长度为2a、电阻为  的导体棒AB，AB由水平位置紧贴环面摆下，当摆到竖直位置时，B点的线速度为v，则这时AB两端的电压大小为（ ）,img src="/files/attach/files/content/2020/0324/1585029604.542.png",img src="/files/attach/files/content/2020/0324/1585029605.288.png",img src="/files/attach/files/content/2020/0324/1585029605.506.png",Bav,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/10ebf4fbf14368c2c74134226281_4888472ex.png,68c2c74134226281_4888472ex.png,,,,,
如图所示，开始时矩形线框与匀强磁场的方向垂直，且一半在磁场内，一半在磁场外，若要使线框中产生感应电流，下列办法中不可行的是（ ）,将线框向左拉出磁场,以ab边为轴转动（小于90°）,以ad边为轴转动（小于60°）,以bc边为轴转动（小于60°）,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e2cfe5969715e7c0122a44e429dd_4890386ex.png,e7c0122a44e429dd_4890386ex.png,,,,,
如图为探究产生电磁感应现象条件的实验装置，下列情况中不能引起电流计指针转动的是（ ）,闭合电键瞬间,断开电键瞬间,闭合电键后拔出铁芯瞬间,断开电键使变阻器的滑动头向右移动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e74ce5370c5d954fa1a8163c1e19_3477515ex.png,954fa1a8163c1e19_3477515ex.png,,,,,
闭合电路的一部分导线ab处于匀强磁场中，若导线分别按照下图中各情况在纸面内运动，能在电路中产生感应电流的情形是（ ）,都会产生感应电流,都不会产生感应电流,甲、乙不会产生感应电流，丙、丁会产生感应电流,甲、丙会产生感应电流，乙、丁不会产生感应电流,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/88b1cd16cec08abad9fc34a78a20_4547014ex.png,8abad9fc34a78a20_4547014ex.png,,,,,
粗细均匀的电阻丝围成图所示的线框，置于正方形有界匀强磁场中，磁感强度为B  ， 方向垂直于线框平面，图中ab=bc=2cd=2de=2ef=2fa=2L。现使线框以同样大小的速度v匀速沿四个不同方向平动进入磁场，并且速度方向始终与线框先进入磁场的那条边垂直，则在通过如图所示位置时，下列说法中正确的是（）,i>ab</i>两点间的电势差图甲中最大,i>ab</i>两点间的电势差图乙中最大,回路电流图丙中最大,回路电流图丁中最小,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/bc5225cc1c9b0af93acbf498e225_1011653ex.png,0af93acbf498e225_1011653ex.png,,,,,
如图所示，在载流直导线近旁固定有两平行光滑导轨A、B  ， 导轨与直导线平行且在同一水平面内，在导轨上有两可自由滑动的导体ab和cd ． 当载流直导线中的电流逐渐增强时，导体ab和cd的运动情况是（ ）,一起向左运动,一起向右运动,相背运动，相互远离,相向运动，相互靠近,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6e8724390c314b6a881da3a34b39_11959530ex.png,b6a881da3a34b39_11959530ex.png,,,,,
某学生做观察电磁感应现象的实验，将电流表、线圈A和B、蓄电池、开关用导线连接成如图所示的实验电路，当他接通、断开开关时，电流表的指针都没有偏转，其原因是（ ）,开关位置错误,电流表的正、负极接反,线圈B的接头3、4接反,蓄电池的正、负极接反,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/80b4951b2d400769a528726138f0_6855819ex.png,0769a528726138f0_6855819ex.png,,,,,
下列关于电磁感应的说法中正确的是（ ）,只要闭合导体与磁场发生相对运动，闭合导体内就一定产生感应电流,只要导体在磁场中做相对运动，导体两端就一定会产生电势差,感应电动势的大小跟穿过回路的磁通量成正比,闭合回路中感应电动势的大小只与磁通量的变化情况有关而与回路的导体材料无关,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6204f6d35821266ed543bff75bf3_11329520ex.png,66ed543bff75bf3_11329520ex.png,,,,,
如图，在一根竖直放置的铜管的正上方某处从静止开始释放一个强磁体，在强磁体沿着铜管中心轴线穿过铜管的整个过程中，不计空气阻力，那么( ),由于铜是非磁性材料，故强磁体运动的加速度始终等于重力加速度,由于铜是金属材料，能够被磁化，使得强磁体进入铜管时加速度大于重力加速度，离开铜管时加速度小于重力加速度,由于铜是金属材料，在强磁体穿过铜管的整个过程中，铜管中都有感应电流，加速度始终小于重力加速度,由于铜是金属材料，铜管可视为闭合回路，强磁体进入和离开铜管时产生感应电流，在进入和离开铜管时加速度都小于重力加速度，但在铜管内部时加速度等于重力加速度,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/6be7054942bf631cd3d040871d28_9175866ex.png,631cd3d040871d28_9175866ex.png,,,,,
如图所示，两平行的虚线区域内存在着有界匀强磁场，有一较小的三角形线框abc，其ab边与磁场边界平行，bc边小于磁场区域的宽度，现使此线框向右匀速穿过磁场区域，运动过程中始终保持速度方向与ab边垂直．则下列各图中哪一个可以定性地表示线框在穿过磁场的过程中感应电流随时间变化的规律（设逆时针电流方向为正方向）（ ）,img alt="" height="75" src="/files/attach/files/content/2020/0324/76fe53b903c02ceb17c1b8eea392785b.png" v:shapes="_x0000_i1120" width="74",img alt="" height="70" src="/files/attach/files/content/2020/0324/2eca29330e76208c2ea7c550000eb229.png" v:shapes="_x0000_i1119" width="73",img alt="" height="75" src="/files/attach/files/content/2020/0324/1d162f0d1940fac1bd54d53e6fe3f277.png" v:shapes="_x0000_i1118" width="74",img alt="" height="75" src="/files/attach/files/content/2020/0324/af892e3cd699da21a95ab4915c434180.png" v:shapes="_x0000_i1117" width="73",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/44c98cff7ba23a6f17cdd60ca236_4889606ex.png,3a6f17cdd60ca236_4889606ex.png,,,,,
如图所示，电路中灯泡L1的电阻比灯泡L2的电阻小，线圈L自感系数很大、电阻忽略不计，则下列说法中正确的是（）,闭合开关S时，灯L<sub>2</sub>和L<sub>1</sub>同时亮,断开开关S时，灯L<sub>1</sub>过一会熄灭，灯L<sub>2</sub>先闪亮后过一会熄灭,断开开关S时，灯L<sub>1</sub>中的电流方向从<i>a</i>到<i>b</i,断开开关S时，灯L<sub>2</sub>中的电流方向始终从<i>d</i>到<i>c</i,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/9869a322f4f31e1c59cbab954482_1018480ex.png,1e1c59cbab954482_1018480ex.png,,,,,
粗细均匀的电阻丝围成的正方形线框置于有界匀强磁场中，磁场方向垂直于线框平面，其边界与正方形线框的边平行．现使线框以同样大小的速度沿四个不同方向平移出磁场，如图所示，则在移出过程中线框的一边a、b两点间电势差绝对值最大的是（ ）,img alt="" height="83" src="/files/attach/files/content/2020/0324/9e8f6d9775fc4a8b6d9b024ee4ea40a1.png" v:shapes="_x0000_i1096" width="69",img alt="" height="81" src="/files/attach/files/content/2020/0324/1a2117d18978b56cf9feffcd6998aac6.png" v:shapes="_x0000_i1095" width="68",img alt="" height="64" src="/files/attach/files/content/2020/0324/80b51906d871900bd7cbd89d1dfe4489.png" v:shapes="_x0000_i1094" width="84",img alt="" height="64" src="/files/attach/files/content/2020/0324/d00a7a3ddd3ab43e117711c5063e16d8.png" v:shapes="_x0000_i1093" width="85",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/05ab7cb0b84b2bfdc9c0cc57883d_5336843ex.png,2bfdc9c0cc57883d_5336843ex.png,,,,,
